truth,estimate,class_prob
no,yes,0.7730684876441956
no,no,0.04967109113931656
no,no,0.06123993545770645
yes,yes,0.7358598113059998
no,no,0.38961178064346313
yes,yes,0.5731490254402161
no,no,0.017934150993824005
no,no,0.004718154203146696
yes,no,0.492599219083786
no,no,0.02679930068552494
no,no,0.04566618427634239
yes,no,0.2417229413986206
no,yes,0.511951744556427
yes,yes,0.7399761080741882
no,no,0.030402136966586113
yes,no,0.2503136098384857
no,no,0.025541337206959724
no,no,0.1549105942249298
yes,yes,0.5996783375740051
yes,yes,0.7151094675064087
no,no,0.014888623729348183
yes,no,0.3655957579612732
no,no,0.029233107343316078
no,yes,0.8085485696792603
no,no,0.06401792913675308
no,no,0.25399816036224365
yes,no,0.4739462435245514
no,no,0.3161412477493286
yes,yes,0.5537046790122986
yes,yes,0.71547698974609375
no,no,0.06907995790243149
no,no,0.01299151312559843
no,no,0.010601108893752098
no,no,0.31765422224998474
no,no,0.008097103796899319
no,no,0.008069464936852455
no,yes,0.6607035398483276
no,no,0.28225943446159363
yes,yes,0.7363163828849792
no,no,0.29875117540359497
no,no,0.004554792772978544
no,yes,0.620312511920929
no,no,0.4331423044204712
no,no,0.016483953222632408
no,yes,0.6429541110992432
no,no,0.05120673403143883
no,no,0.002638924168422818
no,no,0.21261246502399445
no,no,0.018596533685922623
no,no,0.06595949083566666
no,no,0.002861499786376953
no,no,0.3514691889286041
no,no,0.1788930594921112
no,no,0.07539837807416916
no,no,0.174887016415596
no,no,0.20855650305747986
no,no,0.014215662144124508
no,no,0.4179111123085022
yes,yes,0.570905327796936
no,no,0.0041487449780106544
no,no,0.13616743683815002
no,no,0.23066379129886627
no,no,0.26918813586235046
no,yes,0.6124979853630066
no,no,0.020298896357417107
no,no,0.2662447392940521
no,no,0.07407884299755096
yes,yes,0.5268976092338562
no,no,0.01621166057884693
no,no,0.0039228699170053005
no,no,0.2503090798854828
no,no,0.27960672974586487
no,no,0.16599318385124207
no,no,0.2925778925418854
yes,no,0.050732847303152084
no,no,0.1678989678621292
no,no,0.1827966272830963
no,no,0.07287027686834335
no,no,0.14741165935993195
no,no,0.001497765420936048
yes,no,0.3654736280441284
no,no,0.013123661279678345
no,no,0.4825483560562134
yes,yes,0.552822470664978
no,no,0.04702365770936012
no,yes,0.7470857501029968
no,no,0.0316353514790535
yes,yes,0.6859144568443298
no,no,0.23951320350170135
no,no,0.07288717478513718
yes,yes,0.7912490963935852
no,no,0.189693883061409
yes,yes,0.6544368267059326
no,no,0.003672545775771141
no,no,0.2503533661365509
no,no,0.18630467355251312
no,yes,0.6657033562660217
yes,no,0.38769471645355225
no,no,0.007155091967433691
no,no,0.3014472723007202
no,no,0.0037935273721814156
yes,yes,0.745124340057373
no,no,0.04321998730301857
yes,no,0.20461684465408325
no,no,0.05723808705806732
no,no,0.03972779959440231
no,no,0.01926400698721409
no,no,0.13960596919059753
yes,yes,0.6069386601448059
no,no,0.09471715241670609
no,no,0.20924398303031921
no,no,0.4524417221546173
yes,yes,0.6058502793312073
no,no,0.017916522920131683
no,no,0.05321638286113739
no,yes,0.6525787115097046
no,no,0.01755787990987301
no,no,0.010123113170266151
yes,no,0.4257262945175171
no,yes,0.7745164632797241
